start,end,bars,calendar_days,recommended_for_rolling_pack,recommended_for_single_run
2024-06-04 17:25,2025-04-02 09:00,58405,301.65,True,True
2023-05-03 09:55,2024-02-26 20:05,57596,299.42,True,True
2025-04-02 09:10,2025-11-24 14:50,45902,236.24,True,False
2022-09-13 17:15,2023-05-03 09:45,44863,231.69,True,False
2019-05-15 17:35,2019-09-18 10:00,24182,125.68,False,False
2025-11-28 05:10,2026-03-06 23:55,18671,98.78,False,False
2019-10-01 07:50,2019-12-31 23:59,17462,91.67,False,False
2024-02-29 17:45,2024-04-25 23:05,10822,56.22,False,False
2022-08-01 00:00,2022-09-13 17:05,8697,43.71,False,False
2024-04-25 23:15,2024-05-30 17:45,6783,34.77,False,False
2019-04-11 03:15,2019-05-15 17:10,6393,34.58,False,False
2019-09-18 10:10,2019-10-01 07:40,2416,12.9,False,False
2019-04-01 00:00,2019-04-11 02:30,2197,10.1,False,False
2024-05-30 17:55,2024-06-04 17:15,795,4.97,False,False
2025-11-24 15:00,2025-11-28 05:00,938,3.58,False,False
2024-02-26 20:50,2024-02-29 17:35,790,2.86,False,False
